ImageName,EnlacmentGlobalValue,EnlacmentLocallValue,Class
a,231.798,236.203,CHASEDB1
b,212.484,216.129,CHASEDB1
c,215.823,217.84,CHASEDB1
d,200.477,210.229,CHASEDB1
e,226.671,233.166,CHASEDB1
f,223.42,236.158,CHASEDB1
g,200.548,208.361,CHASEDB1
h,194.229,206.863,CHASEDB1
i,221.397,223.947,CHASEDB1
j,208.826,215.044,CHASEDB1
k,207.847,215.981,CHASEDB1
l,209.899,214.784,CHASEDB1
m,227.255,236.012,CHASEDB1
n,209.266,222.973,CHASEDB1
o,222.667,232.803,CHASEDB1
p,210.009,220.425,CHASEDB1
q,173.952,189.804,CHASEDB1
r,158.797,171.159,CHASEDB1
s,227.532,233.349,CHASEDB1
t,209.122,221.148,CHASEDB1
u,283.152,284.123,DRIVE
v,239.794,245.045,DRIVE
w,211.621,216.254,DRIVE
x,254.483,259.817,DRIVE
y,265.339,266.078,DRIVE
z,272.893,279.263,DRIVE
za,233.622,240.611,DRIVE
zb,268.079,276.002,DRIVE
zc,250.099,256.783,DRIVE
zd,266.747,270.35,DRIVE
ze,224.219,226.997,DRIVE
zf,249.863,260.178,DRIVE
zg,263.547,265.577,DRIVE
zh,178.181,187.378,DRIVE
zi,257.92,259.305,DRIVE
zj,266.787,272.573,DRIVE
zk,276.409,278.301,DRIVE
zl,247.983,253.253,DRIVE
zm,256.939,262.944,DRIVE
zn,277.897,278.124,DRIVE
