ImageName,EnlacmentGlobalValue,EnlacmentLocallValue,Class
a,215.41,218.117,CHASEDB1
b,225.022,228.099,CHASEDB1
c,235.891,238.756,CHASEDB1
d,245.755,249.031,CHASEDB1
e,229.112,231.357,CHASEDB1
f,236.138,239.786,CHASEDB1
g,207.768,212.036,CHASEDB1
h,202.736,206.179,CHASEDB1
i,230.286,233.318,CHASEDB1
j,242.084,243.628,CHASEDB1
k,237.258,240.364,CHASEDB1
l,233.835,238.042,CHASEDB1
m,227.244,230.323,CHASEDB1
n,224.138,227.208,CHASEDB1
o,238.539,240.049,CHASEDB1
p,246.001,246.531,CHASEDB1
q,201.528,205.429,CHASEDB1
r,194.672,197.999,CHASEDB1
s,237.326,239.23,CHASEDB1
t,217.038,217.49,CHASEDB1
u,251.372,253.539,DRIVE
v,227.069,229.173,DRIVE
w,226.364,228.099,DRIVE
x,229.178,231.438,DRIVE
y,226.594,227.984,DRIVE
z,237.623,240.995,DRIVE
za,232.933,233.251,DRIVE
zb,239.802,241.644,DRIVE
zc,234.47,236.469,DRIVE
zd,231.279,231.903,DRIVE
ze,214.203,218.5,DRIVE
zf,232.874,234.303,DRIVE
zg,232.087,233.609,DRIVE
zh,201.819,204.68,DRIVE
zi,233.379,236.682,DRIVE
zj,245.604,248.193,DRIVE
zk,240.689,241.951,DRIVE
zl,233.455,234.585,DRIVE
zm,241.991,243.591,DRIVE
zn,249.609,248.952,DRIVE
